0,3,0.31377,0.445052,0.0623046,0.378646,0.769531,-1,-1,-1
0,2,0.8625,0.478385,0.0531249,0.259896,0.853516,-1,-1,-1
0,1,0.201465,0.376562,0.093164,0.466667,0.860352,-1,-1,-1
1,3,0.313086,0.439583,0.0628906,0.388542,0.753906,-1,-1,-1
1,2,0.862109,0.478906,0.0539063,0.258854,0.845703,-1,-1,-1
1,1,0.202734,0.374479,0.0910156,0.470833,0.862793,-1,-1,-1
2,3,0.312012,0.439583,0.0642578,0.388542,0.799805,-1,-1,-1
2,2,0.860547,0.478906,0.0539063,0.258854,0.845703,-1,-1,-1
2,1,0.201367,0.372917,0.0917969,0.477083,0.855957,-1,-1,-1
3,3,0.312207,0.43776,0.0646484,0.391146,0.788086,-1,-1,-1
3,2,0.860156,0.478906,0.0546875,0.258854,0.843262,-1,-1,-1
3,1,0.199561,0.376042,0.093457,0.476042,0.849609,-1,-1,-1
4,3,0.311621,0.4375,0.0650391,0.390625,0.774414,-1,-1,-1
4,2,0.859375,0.479688,0.0546875,0.258333,0.847656,-1,-1,-1
4,1,0.199463,0.373958,0.0932617,0.475,0.837402,-1,-1,-1
5,3,0.311523,0.439323,0.0652344,0.390104,0.790039,-1,-1,-1
5,2,0.858594,0.479948,0.0546875,0.256771,0.846191,-1,-1,-1
5,1,0.199609,0.374219,0.0933594,0.474479,0.844727,-1,-1,-1
6,3,0.3125,0.438542,0.0636719,0.397917,0.728027,-1,-1,-1
6,2,0.858984,0.479948,0.0539062,0.256771,0.846191,-1,-1,-1
6,1,0.200391,0.377083,0.0921875,0.469792,0.841309,-1,-1,-1
7,3,0.31416,0.445833,0.0615234,0.390625,0.720703,-1,-1,-1
7,2,0.857813,0.479948,0.0546875,0.256771,0.853516,-1,-1,-1
7,1,0.201074,0.379167,0.0923828,0.46875,0.853516,-1,-1,-1
8,4,0.316016,0.430469,0.0574219,0.193229,0.142212,-1,-1,-1
8,3,0.313477,0.43776,0.0625,0.401563,0.716309,-1,-1,-1
8,2,0.857813,0.479688,0.053125,0.257292,0.845703,-1,-1,-1
8,1,0.201953,0.383333,0.0914062,0.464583,0.856934,-1,-1,-1
9,4,0.315332,0.43099,0.0583985,0.185937,0.313232,-1,-1,-1
9,3,0.313574,0.444271,0.0619141,0.394792,0.719727,-1,-1,-1
9,2,0.857422,0.480729,0.0539063,0.25625,0.839355,-1,-1,-1
9,1,0.202734,0.382031,0.0921875,0.473438,0.861816,-1,-1,-1
10,4,0.317969,0.43099,0.0566406,0.179688,0.4021,-1,-1,-1
10,3,0.314844,0.522656,0.0601563,0.323437,0.686523,-1,-1,-1
10,2,0.85625,0.480729,0.053125,0.25625,0.822266,-1,-1,-1
10,1,0.20293,0.375781,0.0921875,0.483854,0.857422,-1,-1,-1
11,4,0.31875,0.430469,0.0570313,0.184896,0.281006,-1,-1,-1
11,3,0.314355,0.464583,0.0619141,0.3875,0.645996,-1,-1,-1
11,2,0.854688,0.480208,0.0546875,0.257292,0.832031,-1,-1,-1
11,1,0.201367,0.375,0.0941406,0.489583,0.859863,-1,-1,-1
12,3,0.314551,0.438542,0.0630859,0.4125,0.690918,-1,-1,-1
12,2,0.854688,0.480469,0.0546875,0.257813,0.824707,-1,-1,-1
12,1,0.198828,0.367708,0.096875,0.501042,0.849121,-1,-1,-1
13,3,0.313086,0.43151,0.0660156,0.418229,0.773438,-1,-1,-1
13,2,0.851953,0.480208,0.0554687,0.258333,0.824707,-1,-1,-1
13,1,0.2,0.366276,0.096875,0.49974,0.852539,-1,-1,-1
14,3,0.313477,0.428646,0.0660156,0.419792,0.739746,-1,-1,-1
14,2,0.85,0.478906,0.059375,0.258854,0.82959,-1,-1,-1
14,1,0.200293,0.363542,0.0970703,0.505208,0.852539,-1,-1,-1
15,3,0.313086,0.426302,0.0671875,0.424479,0.742188,-1,-1,-1
15,2,0.848437,0.478906,0.0609375,0.258854,0.847168,-1,-1,-1
15,1,0.199512,0.363802,0.0986328,0.507812,0.842773,-1,-1,-1
16,3,0.311426,0.423698,0.0693359,0.427604,0.781738,-1,-1,-1
16,2,0.847656,0.479688,0.0609375,0.258333,0.837402,-1,-1,-1
16,1,0.197852,0.364193,0.101953,0.508073,0.842773,-1,-1,-1
17,3,0.312207,0.422917,0.0693359,0.427083,0.773438,-1,-1,-1
17,2,0.844922,0.479167,0.0632812,0.258333,0.842285,-1,-1,-1
17,1,0.198047,0.360156,0.101953,0.515104,0.84082,-1,-1,-1
18,3,0.312207,0.421615,0.0693359,0.429688,0.756836,-1,-1,-1
18,2,0.844531,0.479167,0.0640625,0.258333,0.834473,-1,-1,-1
18,1,0.198877,0.358333,0.100293,0.51875,0.835449,-1,-1,-1
19,3,0.312109,0.41875,0.0703125,0.434375,0.688965,-1,-1,-1
19,2,0.842578,0.479688,0.0648438,0.257292,0.842773,-1,-1,-1
19,1,0.197168,0.358203,0.101758,0.522135,0.822266,-1,-1,-1
20,4,0.319434,0.415885,0.0611328,0.205729,0.259033,-1,-1,-1
20,3,0.312305,0.417448,0.0691406,0.452604,0.609863,-1,-1,-1
20,2,0.842578,0.479688,0.0648438,0.257292,0.854004,-1,-1,-1
20,1,0.195068,0.359505,0.10127,0.521615,0.8125,-1,-1,-1
21,4,0.319629,0.417708,0.0607422,0.20625,0.315918,-1,-1,-1
21,3,0.311426,0.41875,0.0701172,0.459375,0.663086,-1,-1,-1
21,2,0.841016,0.479948,0.0648438,0.256771,0.861816,-1,-1,-1
